end-of-line eol endline line-end end-of-string new-line end-line linefeed carriage-return line-feed cr+lf crlf cr-lf end-of-record end-of-text end-of-message line-ending newline line-continuation end-of-data #13#10

proj prj myproject testproject myproj project1 projectx projectname myproject1 solutionfolder my_project mysolution projectfolder project2 mainproject someproject projectroot projectdirectory projectpath proj1 sampleproject

multistore multi-store multi-site multisite multishop webshop 1.5.3.1 1.4.0.1 multisites virtuemart 1.7.0.2 cubecart 1.4.1.1 zencart magneto 1.6.1.0 1.5.1.0 e-shop 1.5.6.1 1.8.1.0 1.5.0.1

division multiplication modulo divison devision subtraction modulus arithmetic exponentiation quotient rounding summation multiplying divisions dividing multiplications calculation remainder squaring divisor substraction

predicate predicates comparator functor expression criterion subquery criteria condition tuple orderby takewhile sub-query disjunction subselect lambda nspredicate clause foldr seq forall

downloading uploading download downloads loading dowloading unzipping installing transferring importing downloaded re-downloading downlaoding serving fetching compressing downlading requesting publishing upload donwloading

string sting strings string. str char substring literal tuple array character value dictionary nsstring c-string string.. filename integer stirng mystring variable

orthogonal symmetrical orthonormal axis-aligned invertible additive independent inseparable non-orthogonal perpendicular homogeneous separable coplanar uncorrelated affine isotropic analogous equidistant collinear unitary ellipsoid

programmatically programatically programmaticaly programmaticly programaticaly manually dynamically programtically pragmatically programically programmically programattically programaticly progrmatically manualy pro-grammatically programmtically programetically programmably progmatically programitically

crate creat instanciate crete craete create instantiate forward-declare instatiate intantiate istantiate creata 1.create createa construct 2.create 1-create initalize instansiate instanciates hastraits

controls widgets panels components usercontrols buttons uielements controls. textboxes controlls textblocks groupboxes comboboxes listboxes views tabitems textfields sub-controls checkboxes grids sliders

nsdictionary nsarray nsmutabledictionary nsmutablearray nsstring nsset nsnumber nsdata nsmutableset dictionary nsvalue nsmutablestring nsobject nsdate dict nsmanagedobject jsonarray jsonobject anyobject nsurl pfobject

styleable declare-styleable stylable textappearance titletextstyle textviewstyle textstyle headerclass buttonbarstyle android.support.v7.appcompat.r com.google.android.gms.r stylename styleclass colorcontrolnormal coloraccent layout_ buttonbarbuttonstyle colorprimary actionbartheme alertdialogtheme mystyle

choice choise choices choice. decision approach option recommendation practice interpretation compromise opinion taste bet use-case intentions preference practise candidate variant trade-off

rijndael tripledes 3des blowfish aes-256 aes128 aes-128 aes256 twofish rijndael-256 desede aes aes-cbc mcrypt_rijndael_128 rijndaelmanaged aescryptoserviceprovider rijndael-128 triple-des mcrypt_rijndael_256 secretkeyfactory aes-256-cbc

fastclick fastclick.js hammer.js modernizer touchpunch webshims enquire.js skrollr ngtouch hammerjs interact.js prototypejs dragula imagesloaded nganimate html5shiv jquery.mobile gwt-dnd touchswipe animate.css modernizr

multimethod multi-method print-method multimethods defmulti trampoline callcc defmethod reify meta-function y-combinator curry type-class servehttp filerotate __call__ ifn partialfunction single-dispatch scopeguard class-method

anonymous anonymus annonymous anonimous anonymouse anon unnamed non-anonymous annoymous anoymous anynomous anonomous anomymous anonym iife iffe anonumous lambda anymous rvalue implicit

ellipsis elipsis ellipses elipses asterix apostrophe anchor text-overflow ampersand underline pseudo-element white-space ellipse inline-block tooltip expander tilde asterik caret dashes placeholder

responsetext xhr.responsetext responsexml xmlhttp.responsetext xmlhttprequest.responsetext response.data .responsetext response.responsetext response.content responsejson response.body jqxhr.responsetext jsondata response.text data.d responsedata request.body data.responsetext req.body readystate responsestring

jtemplates mustache.js jquery.tmpl jsrender jqote handlebars.js jquery-tmpl icanhaz.js mustache underscorejs icanhaz handlebarsjs dust.js jtemplate json2html syntaxhighlighter jquery.. underscore.js jsviews handlebar.js jqote2

datetime datatime datetimeoffset date timestamp date-time unixtimestamp unixtime datetime2 java.util.date localdatetime utcdatetime timestamptz localdate java.sql.timestamp timespan smalldatetime datetime.datetime datetimes nsdate date+time

metacharacters meta-characters metachars backslashed single-quote meta-character metacharacter doublequotes single-quotes backslash-escaped tildes double-quotes ampersands forward-slashes globs delimeters non-escaped apostrophes back-tick doublequote alternations

minute hour minutes sec mins seconds millisecond secs 100ms day 500ms 5min hrs 10ms 30s week 50ms time 20ms msec 1min

blockingcollection concurrentqueue blockingqueue concurrentbag concurrentdictionary linkedblockingqueue concurrentlinkedqueue priorityblockingqueue semaphoreslim threadpoolexecutor synchronousqueue parallel.foreach threadpool multiprocessing.queue delayqueue manualresetevent bufferblock concurrentstack countdownlatch taskcompletionsource copyonwritearraylist

materialize materialise materializing materializes lazy-load hydrate paginate hydrating re-sort re-fetch re-filter linq linqtosql unpivot linq-to-entities materialising re-render re-order asenumerable queryable l2s

dih dataimporthandler dataimport extractingrequesthandler solrnet solrj delta-import scripttransformer django-haystack solr solrcloud xpathentityprocessor sqoop pysolr elasticseach hibernate-search solr4 elastic-search morphline solrconfig.xml solandra

filepath filename fullpath path file_path absolutepath pathname pathtofile foldername folderpath file-path savepath file_name filelocation directorypath filename.txt fileurl system.io.file.exists filename.ext file.path directoryname

freemarker thymeleaf freemaker stringtemplate mustache sitemesh facelets jinja2 smarty jinja scalate nvelocity phptal twig thymleaf ftl mako ognl 2.3.21 vtl handlebars

level level. leve lever levels level.. irql lavel level- level.i level.the levels. dirql medium-high layer schooler priority. magnifications troughput setintegritylevel priority

tablerow tablelayout linearlayout radiogroup cardview relativelayout tablecell framelayout horizontalscrollview tablerows groupview listitem stacklayout customview tabwidget childview linerlayout gridpane headerview linearlayouts textview

wowza red5 fms icecast rtmp kurento shoutcast fmle kaltura vod rmtp wirecast icecast2 erlyvideo ffserver ustream brightcove rtsp re-streaming live555 mpeg-dash

posts articles blogs topics postings posts. questions tweets blogposts books pages answers photos discussions publications products videos links categories sites albums

standards specifications standards. standarts psr-2 conventions guidelines standars psr-1 specs non-standards technologies specification hippa regulations principles xhtml1.0 psr1 rfcs rules compliance

presenter view-model viewmodel controller presenters interactor mainviewmodel viewmodels viewmodellocator viewmanager mainwindowviewmodel mainview unitofwork relaycommand factory maincontroller eventaggregator iview shellviewmodel delegatecommand conductor

collect gather retrieve grab fetch collects collecting extract obtain retreive store accumulate retrive gathers get scrape gathering deliver capture analyse receive

spaces whitespaces commas whitespace dashes newlines hyphens underscores blanks spaces. colons characters slashes dots backslashes asterisks delimiters white-spaces space letters apostrophes

defaults default defaulting defaulted defaults. gc.auto settings core.whitespace hive.metastore.warehouse.dir diff.renamelimit build.compiler onexplicitshutdown session_cookie_age log_statement core.worktree setting. p4charset receive.denycurrentbranch conn_max_age logging_config maxsizerollbackups

team company teams staff team. devops crew senior community vso offshore qa partner organization devs engineers consultant organisation department tasktop fogcreek

multiprocessing multiprocessing.pool concurrent.futures multiprocess gevent threading joblib multithreading eventlet asyncio multiprocessing.dummy multi-processing multi-threading pexpect subprocess mpi4py apscheduler pthreads asyncore twisted psutil

netfilter libnetfilter_queue ebtables netlink netfilters dummynet ipfw bpf kprobes nfqueue iproute2 netmap scapy nflog libpcap netfilter_queue libipq nf_inet_pre_routing conntrack tproxy ip6tables

beanstalkd gearman kue resque rabbitmq gearmand ironmq sidekiq iron.io delayedjob ironworker pheanstalk php-resque celery delayed_job sqs redis rabitmq kombu etcd monit

package.json bower.json composer.json packages.json typings.json requirements.txt build.sbt gruntfile.js webpack.config.js .babelrc pom.xml .bowerrc config.js package.js project.json karma.conf.js gemspec project.clj tsconfig.json gemfile app.js

x509 x.509 x509certificate pkcs12 ecdsa smime privatekey certificatefactory selfsigned rsa openpgp makecert.exe certficate dsa xmldsig makecert pgp pkcs#12 x.509v3 rsaprivatekey certifcate

markerclusterer markercluster markermanager clusterer markerwithlabel gmap3 clustermanager kmllayer leaflet.js jvectormap mapbox.js leafletjs fusiontableslayer gmaps leaflet gmaps.js featurelayer google.maps.marker gmap groundoverlay googlemap

imagemagic imagemagik graphicsmagick imagemagick libgd imagick wkhtmltoimage ghostscript pythonmagick pil libjpeg rmagick pdftk jpegtran magickwand optipng rsvg pillow ffmpeg-php jmagick mogrify

angular-chart angular-nvd3 chartjs angular-chart.js charts.js nvd3 highcharts-ng chartist chart.js c3.js amcharts c3js morris.js highstocks jqplot canvasjs nvd3.js highstock chartist.js dc.js multibarchart

requirements requirments requirements. goals requirement expectations requeriments objectives specifications requirement. rules considerations characteristics slas preconditions limitations restraints restrictions constraints deadlines requierements

maximization maximisation minimization relaxation max-flow sum-of-squares minimisation optimality e-step primal closest-pair hardness discretization least-squares convergence curve-fitting back-propagation linearity levenberg-marquardt 3sum set-cover

prediction predictor predictions estimation classification predicting estimates estimations out-of-sample measurement cross-validation discretization regressor forecasting classifier predicted estimator knn cross-validated k-nn crossvalidation

sign signs signed sing signing sign. signes signe hyphen sign-in -sign signin singed ampersand signs. signup tilde dash dot colon slash

data-url data-href data-src data-image data-title usemap data-content data-thumb data-img data-value data-text data-id data-target data-original srcdoc data-lightbox data-attr data-description longdesc data-page data-caption

threshold treshold thresholds threshhold cutoff tolerance thresold threashold interval threshold. peak intensity maximum radius cutpoint probability percentage saturation brightness frequency metric

clickjacking click-jacking cross-site-scripting over-posting overposting script-injection session-fixation phishing sqlinjection code-injection denial-of-service sql-injections cross-site-request-forgery attacks. tapjacking xsrf man-in-middle ddos known-plaintext atacks piracy

jslint jshint eslint pylint lint linter uglifyjs rubocop jslint.com jscs csslint cppcheck jshint.com splint jsonlint linting flake8 stylecop syntastic tslint checkstyle

uiscrollview scrollview uiview uicollectionview uiimageview uitableview uitextview uipageviewcontroller uitableviewcell uilabel uibutton collectionview uitableviewcontroller uiviewcontroller containerview uinavigationcontroller tableview uicollectionviewcell uitextfield subview uistackview

simpledateformat datetimeformatter decimalformat simpledateformatter nsdateformatter dateformat gregoriancalendar dateformatter datetimeformatterbuilder messageformat java.text.simpledateformat localdate numberformat java.util.date datetimeformat java.text.dateformat strptime jodatime date.parse java.util.calendar decimalformatsymbols

targets configurations subprojects prerequisites projects archs executables phases assemblies targets. sub-projects architectures directories variants binaries platforms target target. modules dlls packages

gitattributes .gitattributes git-config git-checkout githooks git-add git-merge hgignore git-diff gitignore git-log hgrc git-rebase git-rev-parse git-branch git-pull git-stash git-fetch gitconfig git-commit .gitolite.rc

spectral cepstrum spectra time-frequency autocorrelation time-domain lomb-scargle frequency-domain wavelet cepstral periodogram stft wavelets spectrum spectrogram auto-correlation laplacian sinusoidal mfcc harmonic mel-frequency

readability maintainability legibility clarity readibility understandability readablity efficiency conciseness readability. comprehensibility reusability testability cleanliness readabilty readbility simplicity redability shortness neatness compactness

cgpoint cgrect cllocationcoordinate2d nspoint cgvector mkmappoint cgfloat vector2 touchlocation cllocation vector3 cgsize mkmaprect uitouch nsrect geopoint touchpoint locationinview cgpointmake cgaffinetransform cgpath

repository repo repositories respository repos repository. bitbucket submodule workspace repo. git-repo artifactory subversion branch vcs svn repostory trunk repositry scm repostiory

multiple-select multi-select single-select multiselect combox jcombo datacombo checkedlist multiselection multiple-selection single-selection radcombo autosuggest multi-selection mutliselect autosuggestion multichoice select-option pandoras comobo droplist

x509certificate2 x509certificate x509store rsacryptoserviceprovider privatekey system.security.cryptography.x509certificates.x509certificate2 x509chain signedcms x509certificate2collection signedxml networkcredential certificatefactory x509 rsaparameters googlecredential cngkey usercredential x509encodedkeyspec java.security.keystore asymmetrickeyparameter dsacryptoserviceprovider

scaffold scaffolding scaffolds scaffold_controller scaffolded gii scaffolder yeoman angular-fullstack integration_test jhipster active_admin yeomen simple_form mogenerator sqlacodegen padrino form_for giix devise factorygirl

subscriptions subscription subscribers tickets payments purchases accounts campaigns registrations invoices publishers appointments subscriber transactions webhooks publications shipments calendars coupons customers subcription

beautifulsoup bs4 lxml jsoup urllib nokogiri htmlagilitypack lxml.html beautifulsoup4 html5lib beatifulsoup urllib2 htmlparser soup simplehtmldom mechanize elementtree pyquery scrapy unicodedammit simple_html_dom

uniform non-uniform uniformly predictable homogeneous sampler2d vec2 consistent symmetrical discrete deterministic nonuniform vec4 mat4 quantized random vec3 linear constant randomized well-defined

sequential sequencial sequentially non-sequential consecutive parallel randomized deterministic interleaved successive contiguous predictable random atomic concurrent sequence repeated incremental nondecreasing repeatable monotonic

ampersand apostrophe backslash tilde hyphen colon single-quote double-quote tilda unescaped -symbol forward-slash back-slash underscore -sign asterix backtick forwardslash slash apostroph em-dash

qtextedit qplaintextedit qlineedit qtextbrowser qlabel textctrl qgraphicstextitem qgraphicsview qcombobox qtextdocument lineedit qwidget qmainwindow wxtextctrl qscrollarea qframe jtextpane qtablewidget qlistwidget qpushbutton qgraphicsscene

shared sharable shareable sharing protected private non-shared read-only static owned persistent held global local accessible referenced public accessed write-protected share read-write

jpeg jpg png tiff jpeg2000 bmp j2k jbig2 .bmp tif webp jp2 .png pcx .tiff png8 yuv422 jpegs rgb24 targa non-interlaced

boost boost.thread stl tr1 pool_allocator cgal microsec_clock xpressive std eigen non-boost armadillo boost.optional boost.python program_options smart_ptr boost.bind glib boost.filesystem cpp-netlib boost.date_time

jqlite angular.element zepto prototypejs sizzle mootools queryselector lodash zepto.js .fn vanillajs underscorejs shadowdom function.prototype.bind _.extend queryselectorall underscore.js nextuntil lo-dash angular.bind .extend

reportviewer crystalreportviewer rdlc reportbuilder webbrowser localreport ssrs crystal mschart activereports xtrareport fastreport crystalreport stimulsoft reportviewer1 documentviewer sqldatasource radgrid devexpress infragistics axacropdf

ansistring unicodestring widestring ansichar lpwstr pansichar pchar lptstr pwidechar widechar lpctstr lpcstr rawbytestring lpstr wchar lpcwstr shortstring tchar wchar_t wstring cstringa

jide swingx jidesoft tms swinglabs infopower raize jgoodies nebula devex xceed syncfusion jvcl componentone infragistics wijmo actipro graphics32 glazedlists jxtable flamingo

commandlink commandbutton selectoneradio selectbooleancheckbox panelgrid selectonemenu outputlink selectmanycheckbox outputtext outputlabel graphicimage panelgroup inputtextarea remotecommand outputpanel commanbutton commandlinks valuechangelistener selectonelistbox inputtext confirmdialog

xvalue lvalue-reference l-value rvalue-reference r-value lvalue rvalue lvalue. int. unparenthesized expression-statement outputiterator lvalue-expression assignment-expression implementation-de integral unevaluated integer-type array-type e1.e2 out-parameter

sizeof size_t strlen uint8_t ptr uint32_t marshal.sizeof buff uint16_t mystruct nbytes memset +sizeof memcpy buf uint64_t arr size_of char alignof len

dropdown drop-down dropdownlist combobox selectbox combo-box combo multiselect spinner dropdowns listbox checkbox pulldown dropdownmenu dorpdown textbox submenu dropdownbox select-box droplist dropdown.

rewritemap redirectmatch mod_alias try_files modrewrite proxypass mod-rewrite fallbackresource aliasmatch proxypassmatch forcetype setenvif mod_proxy mod_redirect proxypassreverse virtualdocumentroot mod_vhost_alias locationmatch filesmatch directoryindex scriptalias

childbrowser inappbrowser barcodescanner webintent emailcomposer in-app-browser cordova-plugin-inappbrowser pushplugin nyromodal fileopener2 corodova facebookconnect facepile ngcordova fileopener jquery.address nativecontrols prettyphoto photoswipe jqmodal jquery.scrollto

iconvertible iformattable icomparable system.collections.ienumerable iconvertable icloneable iserializable java.lang.comparable iequatable imyinterface iinterface system.idisposable java.io.serializable isomeinterface ientity ixmlserializable idynamicmetaobjectprovider externalizable someinterface iclonable system.icomparable

gawk nawk mawk awk sed ksh egrep ksh93 gensub pcregrep xargs coreutils tcsh gsed gnu-awk zsh non-gnu enscript bash fpat csh

fgetcsv fputcsv str_getcsv textscan fgetl parse_ini_file numpy.genfromtxt textread numpy.loadtxt fscanf dlmread numpy.savetxt fread csvread sscanf fgets fgetc readlines stream_get_contents fwrite file_put_contents

splice unshift .splice .push array.splice .pop .slice array_shift .shift array_splice array_push array.push array.pop array_merge indexof array_slice array.slice array.shift array_pop push_back array.prototype.splice

mockups wireframes mock-ups balsamiq mockup flowcharts wireframing stencils sketches mock-up omnigraffle illustrations uis visualizations dashboards axure fireworks designs psds drawings presentations

apache nginx httpd apache2 apche appache lighttpd tomcat apaches ngnix webserver apace fastcgi ngix mod_fastcgi mod_wsgi apach mod_evasive php-fpm mod-proxy mod_jk

jtds ucanaccess sqljdbc jdbc4 xerial csvjdbc cassandra-jdbc jbdc sqlite-jdbc ojdbc6 jdbc jaybird pgjdbc net.sourceforge.jtds npgsql attunity sqlitejdbc jdbc-driver ojdbc dbexpress sqlsrv

stem stems stemmed stemming emanate arising suffer emerge detract originate steming deviate arise distract emanating preclude suffers refrains originates emanates deviating

toolbar menubar menu actionbar titlebar toolbars ribbon tabbar statusbar panel appbar widget navbar sidebar navigationbar icon button dock bar fab tool-bar

wait waits waiting waited finish poll sleep sleeps pause sleeping suspend listen stall terminate halt abort hang freeze retry kill pauses

hbm hbm.xml .hbm.xml .hbm orm.xml hibernate.cfg.xml cfg.xml user.hbm.xml hibernate.reveng.xml hibernate.cfg .xsd yml persistance.xml persistence.xml mapper.xml schema.yml xml-mapping .dbml dbml orm.yml data-config.xml

rendertargetbitmap writeablebitmap writablebitmap drawingcontext drawingvisual visualbrush system.drawing.graphics bitmapsource d3dimage system.drawing.bitmap tbitmap drawingimage bitmapdecoder bitmapframe bitmapimage bitmapencoder rendertarget2d drawingbrush interopbitmap transformedbitmap drawinggroup

twist wrinkle complication gotcha subtlety variation caveat nuance kink hiccup technicality gimmick jerk conundrum snag rub simplification digression kludge twist. niggle

delimited separated seperated deliminated delimeted delineated delimitated delimted delimitted delimitered de-limited delmited seprated sperated -separated separed separted comma-separated saperated comma-delimited sepparated

tire searchkick sunspot chewy mongomapper pg_search thinkingsphinx datamapper tyre mongoid metasearch elasticsearch-rails django-haystack meta_search river sunspot-rails thinking-sphinx neo4j.rb whoosh elasticsearch haystack

heredoc here-doc nowdoc heredocs here-string single-quoted here-document double-quoted backtick herestring backquotes single-quote back-tick double-quote backquote single-quotes double-quotes quotemeta backtics preg_quote curly

backticks backquotes back-ticks double-quotes backtics single-quotes backtick quotes back-quotes parentheses apostrophes quotations parens braces parenthesis brackets doublequotes back-tick quotename single-quote semicolons

checksum crc checksums crc32 crc-32 md5 check-sum crc16 sha1 md5sum sha-1 sha256 adler32 crc-16 hmac crc32c lrc adler-32 sha-256 hashsum sha

overrides override over-rides overrode redefines overwrites overriding inherits overides overrules declares defines extends over-ride modifies ignores invokes implements over-riding alters decorates

scriptaculous script.aculo.us mootools prototype.js prototypejs zepto yui3 jquery.ui jquery-ui jqueryui mootool zepto.js jqtouch animate.css tweenmax easyslider jqmobile mootols jrails jqeury jquery.mobile

treemap treeset linkedhashmap hashmap multimap sortedmap hashtable hashset priorityqueue linkedhashset sortedset concurrenthashmap sortedlist linkedlist sorteddictionary sparsearray comparator concurrentskiplistmap datastructure weakhashmap navigablemap

queue queues queue. fifo thread threadpool producer worker queuing blockingqueue queueing queuea semaphore buffer queued broker consumer queue2 workqueue sqs queueb

trial trials experimentation googling googleing research google-ing hours investigation researches goggling googeling paid trial-and-error investigations reasearch googled trials. day digging trail

delimiter delimeter separator delimiters comma newline seperator deliminator delimter separators hyphen backslash character delimitter semicolon whitespace commas colon delimeters delim newlines

simultaneous concurrent simultanious simultanous concurent simultaneously concurrently simulataneous concurrents cuncurrent threads simulatenous vus parallel in-flight timeouts simultaniously simultanously batches back-to-back cores

light lights light. shine ligh bright insight guidance dark ligth luminous illumination lighting thoughts water shed earth somelight lifx ideas surface

uilocalnotification localnotification uilocalnotifications nslocalnotification nstimer firedate repeatinterval alarmmanager notificationmanager nsnotification nsnotificationcenter nsusernotification cllocationmanager ekevent uialertview notificationcenter schedulelocalnotification mpmusicplayercontroller alertbody mfmailcomposeviewcontroller countdowntimer

poisson log-normal lognormal weibull multinomial bivariate bernoulli multivariate binomial power-law cauchy student-t gaussian copula posterior quasi-poisson gumbel univariate beta-binomial glmm stochastic

decouple de-couple decouples decoupled decoupling centralize segregate insulate orchestrate encapsulate de-coupled isolate organize uncouple dissociate modularize disassociate simplify de-coupling streamline rethink

navigation nav tabbar menu navbar navigational naviagtion toolbar sidebar uinavigation navigationbar view splitview uitabbar navagation menubar topbar submenu actionbar naviagation hamburger

windowing analytical windowed analytic first_value row_number last_value wgl xlib winapi higher-order nth_value ratio_to_report trigonometric glut hanning listagg sys_connect_by_path rolling_mean curses percentile_cont

beginanimations commitanimations +beginanimations beginanimation sortedarrayusingfunction uigraphicspushcontext uigraphicsgetcurrentcontext sortusingfunction -sortedarrayusingfunction cgcontextrelease forkeypath cgcontextsetblendmode cgcontextrotatectm commitanimation fromview eagl cgcontextscalectm setanimationdelegate toview cgcontextclearrect transitionfromview

xmlwriter xmltextwriter xmlreader xmltextreader stringwriter xmlstreamwriter xmlserializer xdocument xmldocument streamwriter textwriter xmlwritersettings xpathdocument stringreader outputstreamwriter objectoutputstream xpathnavigator binarywriter xmlwriter.create textreader xelement

confidentiality non-repudiation anonymity reliability privacy integrity data-integrity confidential authenticity accountability robustness durability legitimacy uniformity security recoverability idempotency contractual stability predictability security.

extra additional extraneous aditional unnecessary unneeded additonal addtional excess unwanted additionnal addional unecessary intermediate auxiliary unneccessary exta excessive unused optional unnecesary

prototypal prototypical prototype-based pseudo-classical pseudoclassical .prototype parasitic duck-typing protoypal oloo object-orientation class-based object.create oop subtyping class-like immutability polimorphism currying oo closures

tweak adapt adjust tweek amend tailor tweaking tweaked customise rework modify customize fine-tune rearrange tune shorten revise re-write restructure refine simplify

pdf.js pdfjs jspdf html2canvas flexpaper canvg pdfmake pdfobject pdftron viewer.js svgweb html2canvas.js filesaver.js awesomium fabric.js mupdf cefsharp pdfsharp alivepdf canvas2image dompdf

logical natural bitwise mathematical logically bit-wise sensible conceptual arithmetical fundamental well-defined common xnor dense compound flip-flop right-associative trinary left-shift intuitive mplus

anagram anagrams even-length n-length abacus pangram n-gram n-tuple palindrome odd-length scrabble palindromes n-word adjective rna trigrams bigram palindromic exemplar interable isogram

flexibility freedom flexiblity versatility modularity flexability flexibilty reliability robustness scalability benefits elegance customizability leeway configurability portability reusability customization efficiency dryness generality

dropzone.js dropzonejs plupload ng-file-upload jquery-file-upload blueimp dropzone ng-flow uploadify fineuploader uploadifive jquery.form.js swfupload jcrop uplodify multer fine-uploader angular-file-upload jqueryfileupload cloudinary carrierwave

octree oct-tree r-tree octtree kd-tree quadtree quadtrees octrees quad-tree icosahedron kd-trees isosurface avl iso-surface unweighted n-ary kdtree k-d axis-aligned astar rtree

licensing licencing license licence redistribution drm licenses gpl licences patent security hipaa regulatory lgpl privacy royalty-free non-free agpl agreements commercial copyrights

marker markers pushpin infowindow polyline crosshair circle tile mapview tooltip legend placemark polygon rectangle groundoverlay label marker. balloon cursor jlabel mkmapview

jdbcrealm loginmodule jndirealm jaas datasourcerealm jaasrealm krb5loginmodule daoauthenticationprovider memoryrealm databaseserverloginmodule spring-security ldaprealm spnego springsecurity ldapauthenticationprovider jaspic client-cert auth-method jdbc-realm websecurityconfigureradapter jdbcdaoimpl

bookmarks bookmark favorites hyperlinks favourites security-scoped hashtags playlists notebooks links webpages history documents subpages contacts headlines gists titles toolbars photos autonamed

nowrap no-wrap pre-wrap word-break word-wrap break-word pre-line text-indent min-height text-align box-sizing word-spacing border-box text-wrap line-height padding-left max-height align-items padding-top align-self flex-wrap

post reply posts post. posting request response comment tweet link blogpost api.com blog auto-post post.. httppost article post-id blogspot tumblr blogger.com

contention starvation contentions deadlocks thrashing fragmentation latency context-switching overheads slowdown overhead context-switches synchronization race-condition concurrency pressure cache-miss deadlock deadlocking race-conditions depletion

callstack call-stack backtrace stack-trace stacktrace disassembly backtraces stackframe traceback strack trace stack stacktraces debugger. dissassembly dissasembly windbg minidump back-trace procmon debugger

autoloader autoloading autoload __autoload spl_autoload_register auto-loader autloader classmap psr-4 spl_autoload autloading autoloaders psr-0 url_helper autoload.php require_once zend_application errorcontroller zfcuser psr4 hydrator

covariant contravariant co-variant contra-variant monomorphic default-constructible non-generic reifiable varargs co- reified sealed copyable traversable equatable system.collections.ienumerable assignable higher-kinded contravariance icomparable polymorphic

hpple touchxml tfhpple simplehtmldom gdataxml tbxml htmlcleaner htmlagilitypack lxml.html jericho rapturexml simple_html_dom json-framework kanna pugixml tagsoup kissxml sbjson jtidy htmlparser nsxmlparser

suppressfinalize gc.suppressfinalize idisposable.dispose releasecomobject gc.supressfinalize base.dispose stream.close gc.keepalive super.finalize dipose system.gc.collect .dispose marshal.finalreleasecomobject destroyhandle ensurechildcontrols context.dispose addmemorypressure waitforpendingfinalizers finalreleasecomobject variantclear connection.close

linter jslint lint jshint linting eslint sublimelinter jscs csslint pylint rubocop flake8 tslint js-beautify cppcheck debuger uglifyjs syntastic jsbeautifier pyflakes phplint

selectionchanged selectedindexchanged selecteditemchanged mousedoubleclick itemclick textchanged cellvaluechanged cellclick itemdatabound itemcommand gotfocus databindingcomplete rowcommand cellendedit previewkeydown editingcontrolshowing cellformatting selectionchange lostfocus rowupdating onselectedindexchanged

wicket tapestry jsf vaadin struts2 icefaces struts richfaces jsf2 myfaces zk seam smartgwt springmvc primefaces gwt extjs alloyui liferay magnolia thymeleaf

scenarios situations cases use-cases circumstances approaches strategies scenarious usecases scenario setups contexts scenerios environments senarios techniques aspects conditions cases. possibilities scenarios.

coalesce isnull ifnull nvl nullif concat_ws group_concat to_char lpad regexp_replace row_number nvl2 datediff to_date listagg substring_index regexp_like to_number find_in_set rtrim str_to_date

stylesheet stylesheets style-sheet css-file css style.css font-face stylsheet bootstrap.css custom.css print.css styles main.css ie.css styles.css normalize.css font-family mobile.css bootstrap.min.css reset.css .css

handler listener callback hander eventhandler handlers handler. event hanlder onerror dispatcher listner eventlistener handeler oncomplete event-handler listener. listeners oncontextmenu method ajaxerror

iphone ipad ios simulator ipod iphone5 iphone4 ios7 tablet iphone6 iphones iphone5s ios6 iphone4s smartphone blackberry iphone6+ ipad2 device ipad4 ios5

https ssl http non-ssl 443 non-https non-secure http. tls localhost https. unsecured cors websockets htttp cloudflare ntlm nginx htttps wss ftp

memory ram heap memory. memeory mem memmory momory memroy meory cpu vram memery buffer memory.so memory- memoery disk sram memory.. diskspace

quartz.net hangfire apscheduler topshelf spring-batch nservicebus cron4j adojobstore jdbcjobstore scheduledexecutorservice fluentscheduler masstransit quartz rebus gearman ramjobstore django-celery nsb spring.net cc.net resque

scope context scopes closure scoping lifetime rootscope scope. mainctrl scoped namespace declaration prototype global _this iife constructor globals formcontroller outerfunction parentctrl

non-greedy ungreedy quantifier nongreedy possessive greedy un-greedy .+ possesive non-capturing subpattern look-ahead alternation lookbehind w+ backreferences metacharacter look-behind re.dotall dotall lookahead

diagrams diagram diagramms diagramm uml flowcharts flowchart graphs digram erds illustrations diagram. statecharts diagrams. erd hierarchies uml-like magicdraw merise visualizations diagrammer

identifier identifer id identifiers name indentifier identifier. guid uuid alias objectid symbol prefix abbreviation classname identificator id. oid appid uid key

treemaps hashmaps multimaps hashtables treesets hashsets hash-tables linkedlists multisets datastructures hash-maps data-structures linked-lists submaps concurrentskiplistmap linkedhashmaps data-structure squarified deques datastructure comparators

lpcwstr lpcstr lpwstr lpctstr lptstr lpstr wchar pchar pansichar pwidechar pwstr lpvoid widestring pcwstr tchar unicodestring _tchar wchar_t wxstring cstring widechar

radrails phpeclipse cfeclipse jvi eclim enclojure studio3 phped vrapper cfbuilder viplugin ganymede jseclipse anjuta spket rubymine texlipse wingide vs.php ecplise eclispse

nettcpbinding wshttpbinding basichttpbinding wsdualhttpbinding nettcp netnamedpipebinding webhttpbinding netmsmqbinding msmqintegrationbinding basichttp wshttp custombinding net.tcp pollingduplexhttpbinding namedpipes httpbinding nethttpbinding tcpbinding ws2007federationhttpbinding basichttpsbinding ws2007httpbinding

